,id,type,address,number,postal_code,municipality,province,public,available,hours,latitude,longitude
15361,15447.0,Appareil Fixe-Vast Apparaat,Belvéderèstraat,27.0,1050,Saint-Gilles,,No,Yes,,50.8266818,4.3732098
15362,1591.0,Appareil Fixe-Vast Apparaat,Bessenveldstraat,15.0,1831,Machelen,Vlaams-Brabant,Yes,Yes,,50.88205175,4.438678481291827
15363,1671.0,Appareil Fixe-Vast Apparaat,Avenue Paul Hartmann,1.0,1480,Tubize,Brabant wallon (le),Yes,Yes,,50.7113199,4.1742546959290285
15364,1671.0,Appareil Fixe-Vast Apparaat,Avenue Paul Hartmann,1.0,1480,Tubize,Brabant wallon (le),Yes,Yes,,50.7113199,4.1742546959290285
15365,1670.0,Appareil Fixe-Vast Apparaat,Avenue Paul Hartmann,1.0,1480,Tubize,Brabant wallon (le),Yes,Yes,,50.7113199,4.1742546959290285
15366,1741.0,Appareil Fixe-Vast Apparaat,Blarenberglaan,2.0,2800,Mechelen,Antwerpen,Yes,Yes,,51.0544758,4.4493459
15367,15448.0,Appareil Fixe-Vast Apparaat,Pontstraat,80.0,8791,Waregem,West-Vlaanderen,Yes,Yes,,50.87257205,3.326540030985006
15368,1723.0,Appareil Fixe-Vast Apparaat,Proeftuinstraat,43.0,9000,Gent,Oost-Vlaanderen,Yes,Yes,,51.020627149999996,3.7422325604700686
15369,15449.0,Appareil Fixe-Vast Apparaat,John Cordierlaan,5.0,8400,Oostende,West-Vlaanderen,Yes,No,8:00 - 18:00,51.20819965,2.9892280653809236
15370,15450.0,Appareil Fixe-Vast Apparaat,Rue Saint Maur,22.0,7500,Tournai,Hainaut (le),Yes,No,,,
15371,14692.0,Appareil Fixe-Vast Apparaat,Rue Nazareth,13.0,4651,Herve,Liège,No,No,8:00 - 17:00,50.6464355,5.8025283
15372,15451.0,Appareil Fixe-Vast Apparaat,Lange Nieuwstraat,101.0,2000,Antwerpen,Antwerpen,Yes,No,8U En 18U,51.022465049999994,4.477879836095834
